title,year,rating,genre,sinopse,sinopse_no_stopwords,cluster
O Fabuloso Destino de Amélie Poulain,2001,8.3,Comédia,"amélie é uma parisiense ingênua com seu próprio senso de justiça. ela decide ajudar as pessoas ao seu redor e, no caminho, descobre o amor.","amélie parisiense ingênua próprio senso justiça. decide ajudar pessoas redor e, caminho, descobre amor.",0
Como Estrelas na Terra,2007,8.3,Drama,"um garoto de oito anos é acusado de ser problemático e preguiçoso, até que o novo professor de arte tem a paciência e compaixão para descobrir o verdadeiro problema por trás de suas lutas na escola.","garoto oito anos acusado problemático preguiçoso, novo professor arte paciência compaixão descobrir verdadeiro problema trás lutas escola.",1
A Separação,2011,8.3,Drama,"um casal é confrontado com uma decisão difícil, melhorar a vida de seu filho mudando-se para outro país ou ficar no irã e cuidar de um pai que se deteriora e com alzheimer.","casal confrontado decisão difícil, melhorar vida filho mudando-se outro país ficar irã cuidar pai deteriora alzheimer.",1
O Sol é para Todos,1962,8.3,Policial,"atticus finch, um advogado no sul da era da depressão, defende um homem negro contra uma acusação de estupro imerecida, e seus filhos contra o preconceito.","atticus finch, advogado sul depressão, defende homem negro contra acusação estupro imerecida, filhos contra preconceito.",3
Duro de Matar,1988,8.2,Ação,"john mcclane, agente do departamento de polícia de nova york, tenta salvar sua esposa, holly gennaro, e outras pessoas que o terrorista alemão hans gruber tomou como reféns durante a festa de natal no nakatomi plaza, em los angeles.","john mcclane, agente departamento polícia nova york, tenta salvar esposa, holly gennaro, outras pessoas terrorista alemão hans gruber tomou reféns durante festa natal nakatomi plaza, los angeles.",2
Indiana Jones e a Última Cruzada,1989,8.2,Ação,"em 1938, depois que seu pai, o professor henry jones, desaparece enquanto persegue o santo graal, o professor henry ""indiana"" jones, jr. se encontra contra os nazistas de adolf hitler.","1938, pai, professor henry jones, desaparece enquanto persegue santo graal, professor henry ""indiana"" jones, jr. encontra contra nazistas adolf hitler.",2
Golpe de Mestre,1973,8.2,Comédia,dois golpistas se reúnem para obter o melhor golpe.,dois golpistas reúnem obter melhor golpe.,0
Laranja Mecânica,1971,8.2,Policial,"no futuro, um jovem líder de gang é levado para prisão e decide ser voluntário em um experimento, mas os resultados não são os esperados.","futuro, jovem líder gang levado prisão decide voluntário experimento, resultados esperados.",3
Metrópolis,1927,8.3,Drama,"numa cidade futurística dividida entre os trabalhadores e os planejadores, o filho do maior planejador se apaixona por uma trabalhadora.","cidade futurística dividida trabalhadores planejadores, filho maior planejador apaixona trabalhadora.",1
Snatch - Porcos e Diamantes,2000,8.2,Comédia,"um ladrão amante dos jogos reúne gângsteres desprezíveis, um grupo de nômades irlandeses e uma fazenda de porcos em meio a chantagens, fraudes, boxeadores, um cão faminto e um grande diamante.","ladrão amante jogos reúne gângsteres desprezíveis, grupo nômades irlandeses fazenda porcos meio chantagens, fraudes, boxeadores, cão faminto grande diamante.",0
Oppenheimer,2023,8.3,Biografia,a história do cientista americano j. robert oppenheimer e seu papel no desenvolvimento da bomba atômica.,história cientista americano j. robert oppenheimer papel desenvolvimento bomba atômica.,0
1917,2019,8.2,Ação,"na primeira guerra mundial, dois soldados britânicos recebem ordens aparentemente impossíveis de cumprir. em uma corrida contra o tempo, eles precisam atravessar o território inimigo e entregar uma mensagem que pode salvar 1.600 homens.","primeira guerra mundial, dois soldados britânicos recebem ordens aparentemente impossíveis cumprir. corrida contra tempo, precisam atravessar território inimigo entregar mensagem pode salvar 1.600 homens.",2
Los Angeles: Cidade Proibida,1997,8.2,Policial,a corrupção cresce em los angeles nos anos 50. três policiais estão investigando uma série de assassinatos com sua própria marca de justiça.,corrupção cresce los angeles anos 50. três policiais investigando série assassinatos própria marca justiça.,3
A Queda! As Últimas Horas de Hitler,2004,8.2,Biografia,o último secretário de hitler relata seus últimos dias em seu bunker de berlim no final da segunda guerra mundial.,último secretário hitler relata últimos dias bunker berlim final segunda guerra mundial.,0
Ladrões de Bicicletas,1948,8.2,Drama,na itália da pós-guerra a bicicleta de um homem da classe trabalhadora é roubada. ele e o filho partiram para encontrá-la.,itália pós-guerra bicicleta homem classe trabalhadora roubada. filho partiram encontrá-la.,1
Dangal,2016,8.3,Ação,o lutador mahavir e suas filhas lutadoras procuram a gloria contra a opressão social nos jogos do commonwealth.,lutador mahavir filhas lutadoras procuram gloria contra opressão social jogos commonwealth.,2
O Lobo de Wall Street,2013,8.2,Biografia,"baseada na verdadeira história de jordan belfort, desde sua ascensão como corretor de valores até a sua queda e envolvimento no crime e corrupção com o governo.","baseada verdadeira história jordan belfort, desde ascensão corretor valores queda envolvimento crime corrupção governo.",0
Green Book: O Guia,2018,8.2,Biografia,um valentão ítalo-americano se torna o motorista de um pianista afro-americano em um tour no sul dos estados unidos nos anos sessenta.,valentão ítalo-americano torna motorista pianista afro-americano tour sul estados unidos anos sessenta.,0
O Show de Truman: O Show da Vida,1998,8.2,Comédia,um vendedor de seguros descobre que sua vida é um programa de televisão.,vendedor seguros descobre vida programa televisão.,0
Hamilton,2020,8.3,Biografia,"a vida de um dos maiores fundadores e primeiro secretário do tesouro da américa, alexander hamilton.","vida maiores fundadores primeiro secretário tesouro américa, alexander hamilton.",0
Hababam Sinifi Sinifta Kaldi,1975,8.6,Comédia,a young and beautiful female teacher starts working in an all boys high school.,young and beautiful female teacher starts working in an all boys high school.,0
Taxi Driver: Motorista de Táxi,1976,8.2,Policial,"um veterano de guerra mentalmente instável trabalha à noite como taxista na cidade de nova york, onde a decadência e o desprezo alimentam seu desejo de ação violenta.","veterano guerra mentalmente instável trabalha noite taxista cidade nova york, onde decadência desprezo alimentam desejo ação violenta.",3
Batman Begins,2005,8.2,Ação,"após testemunhar a morte dos pais, o bilionário bruce wayne aprende a arte de lutar para confrontar a injustiça. quando ele retorna a gotham como batman, ele deve deter uma sociedade secreta que pretende destruir a cidade.","após testemunhar morte pais, bilionário bruce wayne aprende arte lutar confrontar injustiça. retorna gotham batman, deve deter sociedade secreta pretende destruir cidade.",2
Por uns Dólares a Mais,1965,8.2,Drama,dois caçadores de recompensas com as mesmas intenções se reúnem para encontrar um criminoso ocidental.,dois caçadores recompensas mesmas intenções reúnem encontrar criminoso ocidental.,1
Julgamento em Nuremberg,1961,8.3,Drama,"em 1948, um tribunal dos estados unidos na alemanha ocupada julga quatro nazistas por crimes de guerra.","1948, tribunal estados unidos alemanha ocupada julga quatro nazistas crimes guerra.",1
Ilha do Medo,2010,8.2,Drama,"em 1954, um policial federal dos estados unidos investiga o desaparecimento de um assassino que escapou de um hospital psiquiátrico.","1954, policial federal estados unidos investiga desaparecimento assassino escapou hospital psiquiátrico.",1
Quanto Mais Quente Melhor,1959,8.2,Comédia,"dos músicos son testigos de un crimen y se dan a la fuga disfrazados de mujeres en una banda femenina, pero las cosas se complican.","músicos son testigos un crimen y dan la fuga disfrazados mujeres en una banda femenina, pero las cosas complican.",0
Jurassic Park: O Parque dos Dinossauros,1993,8.2,Ação,"um milionário traz à vida dinossauros extintos há milhares de anos, criando um imenso parque. mas os gigantes pré-históricos começam a ameaçar a vida dos visitantes.","milionário traz vida dinossauros extintos milhares anos, criando imenso parque. gigantes pré-históricos começam ameaçar vida visitantes.",2
O Garoto,1921,8.2,Comédia,"um mendigo cuida de uma criança abandonada, mas os eventos ameaçam esse relacionamento.","mendigo cuida criança abandonada, eventos ameaçam relacionamento.",0
Meu Pai,2020,8.2,Drama,"um homem recusa toda a ajuda de sua filha à medida que envelhece. enquanto ele tenta entender o que está acontecendo ao seu redor, ele começa a duvidar dos seus entes queridos, da sua mente e até mesmo da estrutura de sua realidade.","homem recusa toda ajuda filha medida envelhece. enquanto tenta entender acontecendo redor, começa duvidar entes queridos, mente estrutura realidade.",1
Sangue Negro,2007,8.2,Drama,"uma história sobre familia, religião, ódio e loucura, centrada na vida de um explorador de petróleo nos primeiros anos do negócio.","história sobre familia, religião, ódio loucura, centrada vida explorador petróleo primeiros anos negócio.",1
A Malvada,1950,8.2,Drama,"uma ingênua se insinua na vida de uma atriz de teatro, e de seu círculo de amigas de teatro.","ingênua insinua vida atriz teatro, círculo amigas teatro.",1
O Sexto Sentido,1999,8.2,Drama,um menino que consegue se comunicar com espíritos encontra ajuda de um psicólogo.,menino consegue comunicar espíritos encontra ajuda psicólogo.,1
Ran,1985,8.2,Ação,"no japão medieval, um senhor feudal decide abdicar e entregar seus domínios aos seus três filhos. mas ele não é capaz de ver que esses novos poderes irão corrompê-los e levá-los a enfrentar um ao outro, e contra ele.","japão medieval, senhor feudal decide abdicar entregar domínios três filhos. capaz ver novos poderes irão corrompê-los levá-los enfrentar outro, contra ele.",2
Cassino,1995,8.2,Policial,"uma história de ganância, dinheiro e assassinato acontece entre dois melhores amigos: um mafioso e um executivo de cassino, que competem uns com os outros por um império de jogo e pelo amor de uma socialite.","história ganância, dinheiro assassinato acontece dois melhores amigos: mafioso executivo cassino, competem uns outros império jogo amor socialite.",3
Top Gun: Maverick,2022,8.2,Ação,"após mais de trinta anos de serviço como um dos melhores aviadores da marinha, pete mitchell está onde pertence, ultrapassando os limites como um piloto de teste intrépido e evitando a promoção de posto que o manteria em terra.","após trinta anos serviço melhores aviadores marinha, pete mitchell onde pertence, ultrapassando limites piloto teste intrépido evitando promoção posto manteria terra.",2
Onde os Fracos Não Têm Vez,2007,8.2,Policial,violência e caos surgem quando um caçador se depara com uma negociação de drogas que deu errado e mais de dois milhões de dólares perto do rio grande.,violência caos surgem caçador depara negociação drogas deu errado dois milhões dólares perto rio grande.,3
O Enigma de Outro Mundo,1982,8.2,Terror,uma equipe de pesquisa na antártica é caçada por um alienígena que muda de forma e assume a aparência de suas vítimas.,equipe pesquisa antártica caçada alienígena muda forma assume aparência vítimas.,0
Os Imperdoáveis,1992,8.2,Drama,"o atirador do velho oeste, william munny, relutantemente aceita um último trabalho com a ajuda de seu antigo amigo e um jovem.","atirador velho oeste, william munny, relutantemente aceita último trabalho ajuda antigo amigo jovem.",1
O Labirinto do Fauno,2006,8.2,Drama,"na espanha de 1944, a filha dum oficial do exército escapa a um mundo de fantasia.","espanha 1944, filha dum oficial exército escapa mundo fantasia.",1
Kill Bill: Volume 1,2003,8.2,Ação,"depois de despertar de um coma de quatro anos, uma antiga assassina busca vingança contra o grupo de assassinos que a traiu.","despertar coma quatro anos, antiga assassina busca vingança contra grupo assassinos traiu.",2
Uma Mente Brilhante,2001,8.2,Biografia,a vida do brilhante mas insociável matemático john nash muda quando ele aceita um trabalho secreto em criptografia.,vida brilhante insociável matemático john nash muda aceita trabalho secreto criptografia.,0
Os Suspeitos,2013,8.2,Policial,"quando a filha de keller dover e sua amiguinha desaparecem, ele decide investigar o caso por sua conta enquanto a polícia segue múltiplas pistas e a pressão para resolver o caso aumenta.","filha keller dover amiguinha desaparecem, decide investigar caso conta enquanto polícia segue múltiplas pistas pressão resolver caso aumenta.",3
O Tesouro da Sierra Madre,1948,8.2,Aventura,dois americanos em busca de trabalho no méxico convencem um homem a ajudá-los a extrair ouro nas montanhas da serra madre.,dois americanos busca trabalho méxico convencem homem ajudá-los extrair ouro montanhas serra madre.,0
Procurando Nemo,2003,8.2,Animação,"quando seu filho é capturado, um peixe-palhaço tímido embarca em uma viagem para trazê-lo para casa.","filho capturado, peixe-palhaço tímido embarca viagem trazê-lo casa.",4
O Castelo Animado,2004,8.2,Animação,uma jovem sem autoconfiança é amaldiçoada com um corpo envelhecido por uma bruxa odiosa. sua única chance de quebrar o feitiço é um jovem feiticeiro em um castelo itinerante.,jovem autoconfiança amaldiçoada corpo envelhecido bruxa odiosa. única chance quebrar feitiço jovem feiticeiro castelo itinerante.,4
"Yojimbo, o Guarda-Costas",1961,8.2,Ação,um astuto ronin chega a uma cidade dividida por duas quadrilhas criminosas e decide se confrontar para libertar a cidade.,astuto ronin chega cidade dividida duas quadrilhas criminosas decide confrontar libertar cidade.,2
O Melhor da Juventude,2003,8.4,Drama,"um épico italiano que segue a vida de dois irmãos, das décadas de 1960 a 2000.","épico italiano segue vida dois irmãos, décadas 1960 2000.",1
Fugindo do Inferno,1963,8.2,Aventura,prisioneiros de guerra aliados planejam uma fuga maciça de um campo alemão durante a segunda guerra mundial.,prisioneiros guerra aliados planejam fuga maciça campo alemão durante segunda guerra mundial.,0
Monty Python em Busca do Cálice Sagrado,1975,8.2,Aventura,"o rei arthur e seus cavaleiros da távola redonda embarcam em uma busca surrealista e de baixo orçamento pelo santo graal, encontrando múltiplos obstáculos estúpidos.","rei arthur cavaleiros távola redonda embarcam busca surrealista baixo orçamento santo graal, encontrando múltiplos obstáculos estúpidos.",0
O Homem Elefante,1980,8.2,Biografia,"um cirurgião vitoriano resgata um homem gravemente desfigurado que é maltratado enquanto tenta sobreviver como uma atração de circo. por trás de sua aparência monstruosa, revela-se uma pessoa de bondade, inteligência e sofisticação.","cirurgião vitoriano resgata homem gravemente desfigurado maltratado enquanto tenta sobreviver atração circo. trás aparência monstruosa, revela-se pessoa bondade, inteligência sofisticação.",0
Klaus,2019,8.2,Animação,"um simples ato de bondade sempre provoca outro, mesmo em um lugar gelado e distante. quando o novo carteiro de smeerensburg faz amizade com o fabricante de brinquedos klaus, seus presentes derreteram uma antiga inimizade.","simples ato bondade sempre provoca outro, lugar gelado distante. novo carteiro smeerensburg faz amizade fabricante brinquedos klaus, presentes derreteram antiga inimizade.",4
Disque M para Matar,1954,8.2,Policial,"um ex-tenista decide matar a esposa para herdar o dinheiro dela e se vingar de um caso que ela havia tido. a fim de se livrar de culpas, usa um antigo colega de faculdade. mas as coisas não vão correr como estava planeado.","ex-tenista decide matar esposa herdar dinheiro vingar caso havia tido. fim livrar culpas, usa antigo colega faculdade. coisas vão correr planeado.",3
...E o Vento Levou,1939,8.2,Drama,uma jovem sulista e manipuladora e um aventureiro oportunista se enfrentam em um romance turbulento enquanto a sociedade ao seu redor desmorona com o fim da escravidão e é reconstruída durante os períodos da guerra civil e da reconstrução.,jovem sulista manipuladora aventureiro oportunista enfrentam romance turbulento enquanto sociedade redor desmorona fim escravidão reconstruída durante períodos guerra civil reconstrução.,1
O Segredo dos Seus Olhos,2009,8.2,Drama,"um assessor jurídico aposentado escreve um romance com a esperança de fechar um de seus antigos casos de homicídio, que permanece sem solução, e superar o amor não correspondido que sentia por seu chefe. décadas depois, ambas as memórias continuam a persegui-lo.","assessor jurídico aposentado escreve romance esperança fechar antigos casos homicídio, permanece solução, superar amor correspondido sentia chefe. décadas depois, ambas memórias continuam persegui-lo.",1
Chinatown,1974,8.1,Drama,"um detetive particular contratado para desmascarar um adúltero é pego em uma teia de fraude, corrupção e assassinato.","detetive particular contratado desmascarar adúltero pego teia fraude, corrupção assassinato.",1
"Jogos, Trapaças e Dois Canos Fumegantes",1998,8.1,Comédia,"um jogo de cartas em londres desencadeia um confronto entre quatro amigos, plantadores de maconha, agiotas e cobradores de dívidas em uma série de eventos curiosos, tudo por algo de maria, dinheiro e duas pistolas antigas.","jogo cartas londres desencadeia confronto quatro amigos, plantadores maconha, agiotas cobradores dívidas série eventos curiosos, tudo algo maria, dinheiro duas pistolas antigas.",0
V de Vingança,2005,8.1,Ação,"em um futuro da tirania britânica, um lutador clandestino conhecido como v trama um plano para derrubá-la com a ajuda de uma jovem mulher.","futuro tirania britânica, lutador clandestino conhecido v trama plano derrubá-la ajuda jovem mulher.",2
Rashomon,1950,8.1,Policial,"a violação de uma noiva e o assassinato de seu marido samurai são lembrados desde a perspectiva de um bandido, da noiva, do fantasma do samurai e de um lenhador.","violação noiva assassinato marido samurai lembrados desde perspectiva bandido, noiva, fantasma samurai lenhador.",3
Divertida Mente,2015,8.1,Animação,"depois que a jovem riley é arrancada de sua vida no centro-oeste e se muda para são francisco, suas emoções - alegria, medo, raiva, nojinho e tristeza - entram em conflito sobre a melhor forma de navegar em uma nova cidade, casa e escola.","jovem riley arrancada vida centro-oeste muda francisco, emoções - alegria, medo, raiva, nojinho tristeza - entram conflito sobre melhor forma navegar nova cidade, casa escola.",4
Três Anúncios para um Crime,2017,8.1,Comédia,uma mãe desafia pessoalmente as autoridades locais para resolver o assassinato de sua filha.,mãe desafia pessoalmente autoridades locais resolver assassinato filha.,0
Prenda-Me se for Capaz,2002,8.1,Biografia,"um agente do fbi persegue frank abagnale, que antes de seus 19 anos consegue ganhar milhões de dólares fingindo ser um piloto, um médico e um advogado.","agente fbi persegue frank abagnale, antes 19 anos consegue ganhar milhões dólares fingindo piloto, médico advogado.",0
Trainspotting: Sem Limites,1996,8.1,Policial,"renton, profundamente imerso no mundo das drogas em edimburgo, tenta sair do ambiente apesar da má influência dos amigos.","renton, profundamente imerso mundo drogas edimburgo, tenta sair ambiente apesar má influência amigos.",3
A Ponte do Rio Kwai,1957,8.1,Aventura,"depois de resolver suas diferenças com um japonês, o comandante do campo, um coronel britânico, coopera para supervisionar a construção de uma ponte ferroviária.","resolver diferenças japonês, comandante campo, coronel britânico, coopera supervisionar construção ponte ferroviária.",0
Touro Indomável,1980,8.1,Biografia,"a vida do boxeador jake lamotta, cuja violência e temperamento que o levaram até o topo dos ringues destruíram a sua vida fora deles.","vida boxeador jake lamotta, cuja violência temperamento levaram topo ringues destruíram vida deles.",0
Harry Potter e as Relíquias da Morte - Parte 2,2011,8.1,Aventura,"conforme a batalha entre as forças do bem e do mal no mundo bruxo aumenta de proporções, harry potter se aproxima cada vez mais do confronto final com voldemort.","conforme batalha forças bem mal mundo bruxo aumenta proporções, harry potter aproxima cada vez confronto final voldemort.",0
Fargo: Uma Comédia de Erros,1996,8.1,Policial,o crime de jerry lundegaard se desfaz devido à falta de sorte dele e de seus colegas e ao persistente trabalho polícia.,crime jerry lundegaard desfaz devido falta sorte colegas persistente trabalho polícia.,3
Robô Selvagem,2024,8.2,Animação,"após um naufrágio, um robô inteligente chamado roz fica preso em uma ilha desabitada. para sobreviver ao ambiente hostil, roz se une aos animais da ilha e cuida de um ganso bebê órfão.","após naufrágio, robô inteligente chamado roz fica preso ilha desabitada. sobreviver ambiente hostil, roz une animais ilha cuida ganso bebê órfão.",4
Guerreiro,2011,8.1,Ação,"o filho pequeno de um exboxer alcoólatra volta para casa, onde seu pai o treina para um torneio de artes marciais mistas.","filho pequeno exboxer alcoólatra volta casa, onde pai treina torneio artes marciais mistas.",2
Sociedade dos Poetas Mortos,1989,8.1,Comédia,o professor de inglés john keating inspira a seus estudantes a ver a poesia duma perspectiva diferente.,professor inglés john keating inspira estudantes ver poesia duma perspectiva diferente.,0
Menina de Ouro,2004,8.1,Drama,uma mulher determinada se prepara para se tornar numa pugilista profissional.,mulher determinada prepara tornar pugilista profissional.,1
Gran Torino,2008,8.1,Drama,"walt kowalski, um ranzinza veterano da guerra da coreia, tenta dar uma lição em seu vizinho quando este tentar roubar seu bem mais precioso: um gran torino de 1972.","walt kowalski, ranzinza veterano guerra coreia, tenta dar lição vizinho tentar roubar bem precioso: gran torino 1972.",1
Ben-Hur,1959,8.1,Aventura,"quando um príncipe de jerusalém é traído e enviado à escravidão por um amigo romano, ele recupera sua liberdade e retorna para se vingar.","príncipe jerusalém traído enviado escravidão amigo romano, recupera liberdade retorna vingar.",0
Mad Max: Estrada da Fúria,2015,8.1,Ação,"em um mundo pós-apocalíptico, uma mulher se rebela contra um governante tirânico em busca de sua terra natal com a ajuda de um grupo de prisioneiras, um adorador psicótico e um nômade chamado max.","mundo pós-apocalíptico, mulher rebela contra governante tirânico busca terra natal ajuda grupo prisioneiras, adorador psicótico nômade chamado max.",2
Barry Lyndon,1975,8.1,Aventura,um irlandês conquista o coração de uma viúva rica e assume a posição aristocrática de seu falecido marido na inglaterra do século xviii.,irlandês conquista coração viúva rica assume posição aristocrática falecido marido inglaterra século xviii.,0
Meu Amigo Totoro,1988,8.1,Animação,"quando duas meninas se mudam para o campo para ficar perto de sua mãe doente, elas têm aventuras com os maravilhosos espíritos da floresta que moram nas proximidades.","duas meninas mudam campo ficar perto mãe doente, têm aventuras maravilhosos espíritos floresta moram proximidades.",4
Filhos do Paraíso,1997,8.2,Drama,"depois que uma criança perde o par de sapatos de sua irmã, ele embarca em uma série de aventuras para encontrá-los. quando não consegue, ele tenta uma nova maneira de procurá-los.","criança perde par sapatos irmã, embarca série aventuras encontrá-los. consegue, tenta nova maneira procurá-los.",1
Até o Último Homem,2016,8.1,Biografia,"o médico amaericano da segunda guerra mundial, desmond t. doss, se recusa a matar pessoas e se torna o primeiro homem na história dos estados unidos a receber a medalha de honra sem atirar um tiro.","médico amaericano segunda guerra mundial, desmond t. doss, recusa matar pessoas torna primeiro homem história estados unidos receber medalha honra atirar tiro.",0
O Grande Hotel Budapeste,2014,8.1,Comédia,"as aventuras de gustave h, um lendário porteiro dum famoso hotel da ficcional república de zubrowka entre a primeira y a segunda guerra mundial.","aventuras gustave h, lendário porteiro dum famoso hotel ficcional república zubrowka primeira y segunda guerra mundial.",0
12 Anos de Escravidão,2013,8.1,Biografia,"solomon northup, um homem preto livre de nova iorque, é raptado e vendido como escravo.","solomon northup, homem preto livre nova iorque, raptado vendido escravo.",0
Antes do Amanhecer,1995,8.1,Comédia,um jovem e uma mulher se conhecem num trem em europa é passam uma noite juntos em viena.,jovem mulher conhecem trem europa passam noite juntos viena.,0
Homem-Aranha: Sem Volta para Casa,2021,8.2,Ação,"com a identidade de homem-aranha revelada, peter parker pede ajuda ao doutor estranho. quando um feitiço dá errado, inimigos de outros mundos começam a aparecer, forçando peter a descobrir o que realmente significa ser o homem-aranha.","identidade homem-aranha revelada, peter parker pede ajuda doutor estranho. feitiço dá errado, inimigos outros mundos começam aparecer, forçando peter descobrir realmente significa homem-aranha.",2
Blade Runner: O Caçador de Andróides,1982,8.1,Ação,um blade runner deve perseguir e eliminar quatro replicantes que roubaram uma nave no espaço e retornaram à terra para encontrar seu criador.,blade runner deve perseguir eliminar quatro replicantes roubaram nave espaço retornaram terra encontrar criador.,2
Memórias de um Assassino,2003,8.1,Policial,"em uma pequena província coreana em 1986, três detetives estão procurando o culpado de uma série de estupros e assassinatos de mulheres jovens.","pequena província coreana 1986, três detetives procurando culpado série estupros assassinatos mulheres jovens.",3
Garota Exemplar,2014,8.1,Drama,"desde que o desaparecimento de sua esposa se tornou o foco de um intenso circo da mídia, um homem vê como esta se concentra nele quando suspeitam que pode não ser inocente.","desde desaparecimento esposa tornou foco intenso circo mídia, homem vê concentra nele suspeitam pode inocente.",1
Ratatouille,2007,8.1,Animação,um rato que pode cozinhar forja uma aliança incomum com um jovem garoto em um famoso restaurante em paris.,rato pode cozinhar forja aliança incomum jovem garoto famoso restaurante paris.,4
Como Treinar o Seu Dragão,2010,8.1,Animação,"um jovem e desafortunado viking que aspira a caçar dragões se torna o improvável amigo de um jovem dragão, e descobre que pode haver mais nas criaturas do que ele supunha.","jovem desafortunado viking aspira caçar dragões torna improvável amigo jovem dragão, descobre pode criaturas supunha.",4
Monstros S.A.,2001,8.1,Animação,"para poder dar electricidade a sua cidade, os monstros tem que assustar a crianças. pensando que as crianças são perigosas para eles, dois monstros acham que as coisas podem ser diferentes.","poder dar electricidade cidade, monstros assustar crianças. pensando crianças perigosas eles, dois monstros acham coisas podem diferentes.",4
Tubarão,1975,8.1,Aventura,"quando um tubarão desencadea caos numa praia, um xerife, um biologista e um marinheiro daram caça ao animal.","tubarão desencadea caos praia, xerife, biologista marinheiro daram caça animal.",0
Em Nome do Pai,1993,8.1,Biografia,"em 1974, uma explosão a bomba acontece em guilford, próximo de londres. gerry conlon e amigos são acusados pelo crime e presos. giuseppe conlon, pai de gerry, pede ajuda à advogada gareth peirce, que investiga as irregularidades do caso.","1974, explosão bomba acontece guilford, próximo londres. gerry conlon amigos acusados crime presos. giuseppe conlon, pai gerry, pede ajuda advogada gareth peirce, investiga irregularidades caso.",0
Relatos Selvagens,2014,8.1,Comédia,sies historias curtas que exploram o comportamento humano de pessoas desesperadas.,sies historias curtas exploram comportamento humano pessoas desesperadas.,0
Em Busca do Ouro,1925,8.1,Aventura,um garimpeiro vai ao klondike em busca de ouro e encontra muito mais que isso.,garimpeiro vai klondike busca ouro encontra isso.,0
Ford vs. Ferrari,2019,8.1,Ação,"um designer de carros e um motorista combatem a interferência corporativa, as leis da física e seus próprios demônios pessoais para construir um carro de corrida revolucionário para a ford e desafiar a ferrari nas 24 horas de le mans em 1966.","designer carros motorista combatem interferência corporativa, leis física próprios demônios pessoais construir carro corrida revolucionário ford desafiar ferrari 24 horas le mans 1966.",2
Bancando o Águia,1924,8.1,Ação,um projecionista de cinema deseja ser um detetive e coloca suas magras habilidades em prática quando um rival o incrimina por roubar o relógio de bolso do pai de sua namorada.,projecionista cinema deseja detetive coloca magras habilidades prática rival incrimina roubar relógio bolso pai namorada.,2
Mary e Max - Uma Amizade Diferente,2009,8.1,Animação,"relata a estranha história de uma amizade entre dois amigos por correspondência: mary, uma garota solitária de oito anos que vive nos subúrbios de melbourne, e max, um homem obeso de quarenta e quatro anos que vive em nova york.","relata estranha história amizade dois amigos correspondência: mary, garota solitária oito anos vive subúrbios melbourne, max, homem obeso quarenta quatro anos vive nova york.",4
O Franco Atirador,1978,8.1,Drama,um retrato detalhado das maneiras pelas quais a guerra do vietnã interrompeu a vida dos habitantes de uma pequena cidade industrial na pensilvânia.,retrato detalhado maneiras quais guerra vietnã interrompeu vida habitantes pequena cidade industrial pensilvânia.,1
O Salário do Medo,1953,8.1,Aventura,"em uma aldeia da américa do sul, quatro homens são contratados para transportar uma remessa urgente de nitroglicerina, mas sem o equipamento de segurança.","aldeia américa sul, quatro homens contratados transportar remessa urgente nitroglicerina, equipamento segurança.",0
A General,1926,8.1,Ação,"uns espiões roubam a amada locomotiva de um engenheiro, ele a persegue sozinho através das linhas inimigas.","uns espiões roubam amada locomotiva engenheiro, persegue sozinho através linhas inimigas.",2
A Mulher Faz o Homem,1939,8.1,Comédia,"um homem ingênuo é eleito para ocupar uma vaga no senado dos estados unidos. seus planos colidem rapidamente com a corrupção política, mas ele não desiste.","homem ingênuo eleito ocupar vaga senado estados unidos. planos colidem rapidamente corrupção política, desiste.",0
Logan,2017,8.1,Ação,"em um futuro em que os mutantes estão quase extintos, um velho e cansado logan leva uma vida tranquila. mas quando laura, uma garota mutante perseguida por cientistas, pede ajuda a ele, ele deve colocá-la em segurança.","futuro mutantes quase extintos, velho cansado logan leva vida tranquila. laura, garota mutante perseguida cientistas, pede ajuda ele, deve colocá-la segurança.",2
Sindicato de Ladrões,1954,8.1,Policial,"um ex-pugilista de nova jersey, agora um operário portuário, luta para enfrentar seus chefes sindicais corruptos, incluindo seu irmão mais velho, enquanto começa a se conectar com a irmã de uma das vítimas do sindicato.","ex-pugilista nova jersey, agora operário portuário, luta enfrentar chefes sindicais corruptos, incluindo irmão velho, enquanto começa conectar irmã vítimas sindicato.",3
"Rocky, um Lutador",1976,8.1,Drama,um boxer pouco conhecido tem uma grande oportunidade de enfrentar o campeão dos pesos pesados em uma partida em que ele esperaele espera estar à altura da tarefa e divulgar seu nome.,boxer pouco conhecido grande oportunidade enfrentar campeão pesos pesados partida esperaele espera altura tarefa divulgar nome.,1
Morangos Silvestres,1957,8.1,Drama,"depois de viver uma vida marcada pela frieza, um professor idoso é forçado a confrontar o vazio de sua existência.","viver vida marcada frieza, professor idoso forçado confrontar vazio existência.",1
Era uma Vez em Tóquio,1953,8.1,Drama,"um casal de idosos viaja para tóquio para visitar seus filhos, mas encontram indiferença, ingratidão e uma marcada diferença cultural. quando os idosos voltam para casa, entramos em uma profunda reflexão sobre a mortalidade e a família.","casal idosos viaja tóquio visitar filhos, encontram indiferença, ingratidão marcada diferença cultural. idosos voltam casa, entramos profunda reflexão sobre mortalidade família.",1
